术语,定义,例句
当期所得税,当期应支付的所得税。,当期所得税按已颁布的税率计量。
削减,设定受益计划范围的重大缩减。,计划的削减降低了未来的福利义务。
缓冲,提供保障的超额部分，例如用于吸收损失的次级档。,次级档起到抵御损失的缓冲作用。
客户名单,代表客户信息的无形资产，通常在企业合并中确认。,合并中取得的客户名单被确认为一项无形资产。
客户忠诚度计划,向客户授予积分、可用于未来兑换商品或服务的方案。,该航空公司的客户忠诚度计划授予可兑换的里程。
客户关系无形资产,因与现有客户的关系而产生的无形资产。,客户关系无形资产在收购中已予确认。
数据库,作为无形资产处理的有组织的数据集合。,购入的数据库被确认为一项无形资产。
购买日,取得被购买方控制权的日期。,商誉于购买日计量。
交换日,对资产交换或收购交易进行确认和计量的日期。,资产的公允价值在交换日确定。
过渡到国际财务报告准则日,第一个国际财务报告准则报告期的期初。,过渡到国际财务报告准则日决定了期初报表的确定。
交易性证券,主体为交易目的而持有的证券。,交易性证券按公允价值计量。
死亡福利,成员死亡时支付给受益人的款项。,该计划向参与者的家属提供死亡福利。
债务,因过去事项而产生的向另一方转移经济资源的义务。,公司发行新债券后，债务总额有所增加。
债转股,以权益股份交换债务义务的交易。,此次重组包括若干项债转股交易。
债务工具,代表付款义务的金融工具。,债务工具可以按摊余成本计量。
债务证券,代表债权关系的金融工具。,债务证券根据业务模式进行分类。
债务与调整后资本比率,债务与调整后资本之间的比率。,债务与调整后资本比率衡量财务杠杆水平。
债务与权益比率,将总负债与股东权益相比较的财务比率，反映财务杠杆和风险。,该主体的债务与权益比率保持在与其贷款人约定的契约限制范围内。
决策树,用于做出决策的结构化指南。,决策树有助于对金融工具进行分类。
决策有用信息,有助于使用者做出经济决策的信息。,财务报表应当提供决策有用信息。
弃置,将资产停止使用并恢复场地的过程。,已为工厂的弃置确认了一项预计负债。
弃置费用,在资产使用寿命结束时，预计因拆除或恢复场地而发生的费用。,工厂建造时，确认了一项弃置费用预计负债。
弃置基金,为未来拆除费用而拨出的受限制资产。,弃置基金存放于单独的账户中。
弃置义务,使用后拆除并恢复场地的义务。,弃置义务作为预计负债予以确认。
弃置、恢复及环境修复基金,为弃置和环境恢复而拨出的资金。,对弃置基金的缴款确认为一项资产。
可抵扣暂时性差异,会减少未来应纳税金额的差异。,可抵扣暂时性差异会产生递延所得税资产。
认定成本,在首次采用国际财务报告准则时，用作成本替代金额的金额，例如过渡日的公允价值。,首次采用时，主体选择过渡日的公允价值作为其不动产的认定成本。
递延,推迟确认。,在有限的情况下，主体可以递延确认。
递延法,将某一项目分摊至未来期间的方法。,在递延法下，补助在一段时间内予以确认。
递延取得成本,确认为资产并随时间摊销的保险取得成本。,递延取得成本在保单期间内摊销。
递延收益,在相关收入赚取之前收到款项而形成的负债。,预收的订阅费已记录为递延收益。
递延保单取得成本,保险人递延并在保单期间内摊销的取得成本。,递延保单取得成本在合同期间内摊销。
递延所得税,因暂时性差异而于未来期间应付或可收回的税款。,递延所得税因暂时性差异而产生。
递延所得税资产,因可抵扣差异而于未来期间可收回的税款。,在很可能收回的范围内，确认递延所得税资产。
递延所得税收益,因递延所得税而确认的所得税收益。,递延所得税收益因暂时性差异的转回而产生。
递延所得税负债,因应纳税暂时性差异而于未来期间应付的所得税金额。,递延所得税负债因资产的账面金额与其计税基础之间的暂时性差异而产生。
赤字余额,负余额。,该计划在年末存在赤字余额。
设定受益负债,承诺的退休福利现值减去计划资产后的金额。,由于折现率下降，设定受益负债增加。
设定受益义务,应付员工的承诺退休福利的现值。,设定受益义务采用市场利率进行折现。
设定受益义务（现值）,为结算员工截至目前已提供的服务所需的预期未来福利支付的现值。,精算师在年末计算了设定受益义务的现值。
设定受益计划,承诺在退休时提供特定福利的离职后福利计划。,该设定受益计划出现了大额赤字。
设定受益计划,福利由公式确定的离职后福利计划。,设定受益计划义务采用精算方法计量。
设定提存计划,雇主缴存固定提存金的养老金计划。,在设定提存计划下，雇主的义务仅限于所缴存的提存金。
即期应付金额,应要求即期支付的金额。,贷款的即期应付金额须立即偿还。
活期存款,存款人可随时无需事先通知即可提取的存款。,活期存款因可按要求偿还而被归类为流动负债。
即期赎回特征,允许持有人要求赎回的条款。,即期赎回特征可能导致该金融工具被归类为负债。
公司分立,将一个部门分离为独立实体。,此次公司分立形成了两家分别上市的公司。
明确承诺,受正式计划约束且撤出不具有现实可能性的状态。,主体对重组计划作出了明确承诺。
定期存款账户,存放资金并在固定期限内赚取利息的银行账户。,富余现金存放于一年期定期存款账户中。
存款会计法,将保险合同视同金融存款处理的方法。,存款会计法适用于这些短期合同。
存款部分,嵌入保险合同中的储蓄要素。,存款部分与保险要素相分离。
应折旧金额,资产成本减去其残值后的金额。,应折旧金额在使用寿命内进行分摊。
应折旧资产,需计提折旧的资产。,应折旧资产在其使用寿命内逐步减记。
已折旧重置成本法,一种估值方法，即估计资产的现行重置成本，并扣除累计折旧和减值。,评估师运用已折旧重置成本法估计该工厂的公允价值。
折旧,将有形资产的成本在其使用寿命内进行分摊。,折旧采用直线法计提。
折旧方法,将资产的应折旧金额在一段时间内进行分摊的方法。,折旧方法包括直线法和余额递减法。
终止确认（金融工具）,将金融工具从财务状况表中移除。,主体在转让时终止确认了该金融资产。
终止确认,将先前已确认的资产或负债从财务状况表中移除。,在几乎所有风险和报酬被转移后，该应收账款予以终止确认。
衍生工具,其价值源自标的变量的金融工具。,该衍生工具以公允价值计量。
衍生金融资产,其价值源自标的项目的金融资产。,衍生金融资产以公允价值计量且其变动计入当期损益。
衍生工具特征,使工具的表现类似于衍生工具的特征。,主合同的衍生工具特征要求单独进行会计处理。
衍生金融工具,其价值源自标的项目的工具。,衍生金融工具以公允价值计量。
衍生金融负债,其价值随标的变量变动而变动、且通常以公允价值计量的金融负债。,因利率互换产生的衍生金融负债以公允价值计量且其变动计入当期损益。
指定且有效的套期工具,为套期而正式指定且有效的工具。,指定且有效的套期工具对冲了该风险。
指定为以公允价值计量且其变动计入当期损益,选择以公允价值计量金融工具且其变动计入当期损益。,主体采用了指定为以公允价值计量且其变动计入当期损益的方式。
成本的确定,确定某一项目成本金额的过程。,成本的确定遵循适用的成本计算方法。
确定一项安排是否包含租赁,用于评估合同是否以支付对价为条件让渡资产使用权的指南。,根据确定一项安排是否包含租赁的指南，该合同被作为租赁处理。
开发,将研究成果应用于生产新的或经改进的产品。,开发成本于本年度予以资本化。
开发成本,为开发产品或工艺而发生的、可予以资本化的成本。,开发成本作为无形资产予以资本化。
稀释每股收益,经所有具有稀释性的潜在股份影响调整后的每股收益。,稀释每股收益反映了可转换债券的影响。
稀释,因潜在股份而导致的每股收益减少。,可转换债券导致了每股收益的稀释。
稀释性影响,假如潜在普通股转换为普通股时将会发生的每股收益减少。,股票期权对基本每股收益具有稀释性影响。
具有稀释性的潜在普通股,会降低每股收益的潜在股份。,具有稀释性的潜在普通股会降低基本每股收益。
余额递减法,将固定比率应用于不断减少的账面金额的折旧方法。,余额递减法在早期计提较高的折旧。
直接保险合同,不属于再保险合同的保险合同。,直接保险合同承保保单持有人自身的风险。
直接人工,直接参与商品生产或服务提供的员工人工成本。,直接人工和材料计入产成品的成本。
经营活动现金流量列报的直接法,按主要现金收支总额类别报告经营活动现金流量的方法。,主体采用经营活动现金流量列报的直接法。
直接经营费用,可直接归属于投资性房地产经营的费用。,直接经营费用单独披露。
可直接归属的,可追溯至特定资产或交易的成本。,只有可直接归属的成本才予以资本化。
董事,主体治理董事会的成员。,董事被视为关键管理人员。
分解信息,为向财务报表使用者提供更详细的信息而分解为组成部分或类别的信息。,有关资产类别的分解信息有助于使用者评估主体的风险敞口。
披露,在财务报表中列报信息。,主体必须披露关联方交易。
披露,在财务报表附注中列报信息。,该准则要求对关联方进行广泛的披露。
披露与列报,规范信息在报表中如何列示和说明的要求。,该准则规定了披露和列报要求。
披露法,在附注而非基本财务报表中列报信息的方法。,理事会选择了披露法，而不是在账目中确认该项目。
政府援助的披露,揭示所收到的政府补助的性质和金额。,政府援助须在附注中披露。
披露要求,要求在财务报表中列报信息的规定。,披露要求适用于所有重大项目。
披露——服务特许权安排,有关服务特许权安排的披露要求。,服务特许权安排的披露包括特许期。
银行及类似金融机构财务报表中的披露,适用于银行及类似机构的披露要求。,该准则要求银行进行特定的披露。
终止经营,已处置或被归类为持有待售、且代表单独主要业务线的主体组成部分。,终止经营的成果在利润表中单独列示。
终止经营,已处置或持有待售的组成部分。,终止经营单独列报。
终止中的经营,已处置或已分类为持有待售的组成部分。,终止中的经营单独列报。
折现率,用于将未来现金流量折算为现值的比率。,对这些预测采用了税前折现率。
折现基础,使用折现率将未来现金流量折算为现值的计量方法。,保险人以折现基础计量其负债，以反映货币的时间价值。
按折现基础,通过将未来现金流量折现至现值进行计量。,该预计负债按折现基础予以确认。
折现现金流量预测,折算为现值的预计未来现金流量。,可收回金额以折现现金流量预测为基础。
折现,将未来金额折算为其现值。,该预计负债通过折现未来现金流出量进行计量。
酌情参与特征,分享利润的合同权利。,酌情参与特征使保单持有人有权获得红利。
处置对价,因处置资产或业务而收取或应收的金额。,处置利得按处置对价减去账面金额计量。
处置组,拟一并处置的资产和负债。,处置组按账面金额与公允价值减去出售费用后的净额两者中的较低者计量。
处置计划,出售或以其他方式处置资产的正式计划。,处置计划已获董事会批准。
处置交易,出售或以其他方式处置资产或业务的交易。,该处置交易产生了出售利得。
异议意见,理事会成员对某项准则或决定表示不同意的正式声明。,两名理事会成员对新准则附具了异议意见。
向所有者分配非现金资产,将现金以外的资产作为股利转移给所有者。,该解释涵盖向所有者分配非现金资产的情形。
股利收益率,每股年度股利除以股价。,股利收益率被用作估值的一项输入值。
股利,向股东分配的利润。,报告日之后宣告的股利不确认为负债。
域名,已注册的互联网地址。,域名确认为一项无形资产。
呆账,全额收回存在不确定性、因此需进行减值评估的应收款项。,根据应收账款的账龄分析，为呆账确认了一项预计负债。
顺流交易,母公司向子公司的交易。,顺流交易在合并时予以抵销。
双重上市公司,股份在多家交易所上市的公司。,双重上市公司须向两个监管机构报送报告。
双重触发合同,仅在特定的不确定未来事件发生时才予支付的保险合同。,双重触发合同可作为衍生工具进行会计处理。
鼓励提前应用,准则中允许并鼓励主体在强制生效日期之前应用该准则的表述。,该准则指出，鼓励提前应用，但不作强制要求。
收益,主体在报告期内的净利润。,收益在第四季度大幅增长。
或有收益对价,在达到规定收益目标时应付的额外对价。,或有收益对价将在两年内支付。
每股收益,可归属于每股普通股的利润。,基本每股收益在利润表中披露。
每股收益——可用股份结算的金融工具和其他合同,关于每股收益以及可用股份结算的工具的解释。,该解释涉及可以股份结算的工具。
稀释收益,用于计算稀释每股收益的收益数额，已对全部稀释性潜在普通股的影响进行调整。,稀释每股收益采用稀释收益和稀释加权平均股数计算。
经济利益,由资产所带来的利益。,经济利益包括因使用资产而产生的收入。
经济特征和风险,用于测试嵌入式衍生工具的合同经济特征和风险。,已对主合同的经济特征和风险进行了评估。
使用者的经济决策需求,做出资源配置决策者的信息需求。,财务报表应当满足使用者的经济决策需求。
经济寿命,资产预计在经济上可使用的期间，或预计可从资产中产出的产品数量。,租赁资产的使用寿命未超过其经济寿命。
假定转换的影响,假定已转换的工具对每股收益的影响。,假定转换的影响增加了稀释后的股数。
生效日期,准则或修订必须开始应用的日期。,该修订的生效日期为2025年1月1日。
实际利率法,在金融工具存续期内分摊利息的方法。,该债券采用实际利率法计量。
实际利率,恰好将未来现金流量折现的利率。,实际利率包括交易费用。
汇率变动的影响,规定如何将外币交易和国外经营折算为列报货币的准则。,有关汇率变动影响的准则规范了汇兑差额的确认方式。
勘探和评价资产成本的构成要素,构成勘探和评价资产成本的各个组成部分。,成本构成要素包括购置成本和勘探成本。
适用条件,采用特定处理方法所必须满足的要求。,该套期满足全部适用条件。
符合资本化条件,符合确认为资产而非费用的条件。,借款费用符合资本化条件。
合格被套期项目,符合套期会计条件的资产、负债或预测交易。,购买钢材的确定承诺是一项合格被套期项目。
与联营企业交易产生的未实现损益的抵销,抵销与联营企业交易中产生的内部未实现利得。,该准则要求抵销与联营企业交易中产生的未实现损益。
嵌入式衍生工具,包含在主合同中的衍生工具组成部分。,该嵌入式衍生工具已与主合同分离。
嵌入式提前还款罚金,包含在主合同中的罚金条款。,嵌入式提前还款罚金已与主合同分离。
职工薪酬,向职工提供的各种形式的对价。,职工薪酬包括工资、养老金和股份期权。
员工持股计划,职工取得本主体股份的安排，通常作为报酬的一种形式。,员工持股计划赋予职工按折价取得股份的权利。
员工购股计划,允许职工购买股份的计划。,员工购股计划鼓励职工持有股份。
员工流动率,职工离职并被替换的比率。,员工流动率会影响股份支付的估计数。
职工和提供类似服务的其他人员,在主体指挥下向主体提供个人服务的人员。,股份支付适用于职工和提供类似服务的其他人员。
雇主的工资税和保险缴费,雇主代表其职工缴纳的税款和社会保障缴费。,雇主的工资税和保险缴费作为职工薪酬费用的组成部分予以确认。
颁布,税法正式通过并实质上生效。,递延所得税在新法律颁布后进行计量。
报告期末,财务报表涵盖期间的最后一日。,资产于报告期末进行计量。
报告期末,财务报表涵盖期间的最后一天。,报告期末之后的事项需评估是否需要调整。
契约条款的强制执行,对借款人适用合同约定条件。,执行契约条款使贷款人有权要求偿还借款。
强化披露,为使使用者更好地了解主体的交易和风险而要求的额外披露或更详细的披露。,强化披露要求适用于使用公允价值计量的主体。
企业,从事经营活动的主体。,该企业编制通用目的财务报表。
股份（未）公开交易的企业,按其股份是否公开交易进行区分的主体。,该准则适用于股份未公开交易的企业。
债务或权益证券公开交易的主体,证券在公开市场上市或交易的主体。,此类准则适用于债务或权益证券公开交易的主体。
主体,编制财务报表的任何可区分的经济单位。,报告主体列报该集团的合并财务报表。
主体特定价值,资产对持有它的特定主体而言的价值。,主体特定价值可能与公允价值不同。
环境义务,防止、减少或修复环境损害的义务。,环境义务确认为预计负债。
同等显著列报,以同等重要程度列报所有财务报表。,所有报表均以同等显著程度列报。
平衡准备,用于在一段时间内平滑保险赔款的准备。,某些司法管辖区不允许计提平衡准备。
权益,主体的资产扣除全部负债后的剩余权益。,由于本年度利润和发行股票，权益总额有所增加。
权益法——亏损的确认,在权益法下确认亏损。,权益法下亏损的确认以投资额为限。
权益余额,构成股东权益的组成部分及其金额。,权益余额包括股本和留存收益。
权益资本,所有者投入的资金，与借入资本相对。,权益资本为抵御亏损提供了缓冲。
权益性薪酬福利（股份薪酬福利）,以主体自身权益工具的形式授予职工的福利。,权益性薪酬福利按所授予股份的公允价值计量。
权益性薪酬计划（股份薪酬计划）,以股份或股份期权向职工支付报酬的安排。,权益性薪酬计划已获股东批准。
权益成分,复合工具中归类为权益的部分。,权益成分按剩余金额计量。
权益持有者,主体权益工具的所有者。,应披露归属于母公司权益持有者的利润。
权益指数,追踪股票价格的指数。,收益与某一权益指数挂钩。
权益工具,证明在扣除主体所有负债后对主体资产享有剩余权益的任何合同。,普通股是主体发行的权益工具的一个例子。
已授予的权益工具,在以股份为基础的支付安排下发行的权益工具。,已授予的权益工具的公允价值在授予日进行计量。
权益份额,以股份表示的对主体的所有权权益。,本集团在多家联营企业中持有权益份额。
股票发行,为筹集资本而发行股份。,此次股票发行为扩张筹集了额外资金。
权益法,对联营企业投资进行会计处理的一种方法，据此按投资方享有的利润份额对投资进行调整。,对该联营企业的30%权益采用权益法进行会计处理。
权益证券,代表对主体所有权的金融工具。,权益证券按公允价值计量。
权益——权益交易的成本,直接归属于发行或取得权益工具的增量成本。,发行新股的交易费用从权益中扣除。
以权益结算的股份支付交易,通过发行权益工具进行结算的交易。,在以权益结算的股份支付中，相关费用贷记权益。
预计成本,为未来估计的成本。,完工预计成本于每一期间进行复核。
预计未来现金流量,用于估值和减值测试以确定可收回金额的预测现金流量。,可收回金额是基于折现至现值的预计未来现金流量确定的。
欧式股票期权,仅能在到期日行权的期权。,欧式股票期权只能在到期时行权。
涉及租赁法律形式的交易实质的评估,根据交易的实质评估该交易是否属于租赁。,尽管有其法律形式，我们仍对交易的实质进行了评估。
事件驱动的公允价值计量,由特定事件而非定期报告触发的公允价值计量。,重组完成后需要进行事件驱动的公允价值计量。
资产负债表日后事项,发生在报告日与财务报表批准报出日之间的事项。,根据资产负债表日后事项准则，该火灾被作为调整事项处理。
报告期后事项,发生在报告日与财务报表获得批准之间的事项。,报告期后事项需要对年末数字进行调整。
资产负债表日后发生的事项,发生在报告日与报表批准之间的有利或不利事项。,管理层在最终确定账目之前评估了资产负债表日后的事项。
最终接受方,最终接受商品或服务的一方。,股份支付的最终接受方在授予时予以确定。
减值证据,表明资产发生减值的客观证据。,减值证据会引发减记。
汇兑差额,以不同汇率将一定数量的某一货币折算为另一货币所产生的差额。,折算境外子公司所产生的汇兑差额计入了其他综合收益。
资产交换,以一项资产换取另一项资产。,资产交换具有商业实质的，按公允价值计量。
汇率,一种货币兑换另一种货币的比率。,上一季度汇率发生了对我们极为不利的剧烈变动。
交换交易,交易双方相互交换资产或服务的交易。,该交换交易以一处不动产换入另一处不动产。
待执行合同,双方均尚未履行任何义务的合同。,待执行合同在任何一方履行义务之前不予确认。
豁免,对应用某一准则或框架的某些要求给予的免除。,该准则为首次采用者提供了若干豁免。
行权日,期权或认股权证可以行权的日期。,股票期权的行权日落在三月。
行使权利,使用某项权利，例如股票期权。,行使权利最终导致发行了新股。
行权价格,期权可以行权的价格。,行权价格被设定在市场价格之下。
现时义务,因过去事项而产生、预期会导致资源流出的现时义务。,只有当报告日很可能存在现时义务时，才确认预计负债。
预期值,各种可能结果的概率加权平均值。,预计负债的预期值是根据各种可能结果计算的。
支出,资源的流出或负债的发生。,今年的资本支出显著增加。
费用,当期经济利益的减少，通常表现为资源的流出。,第四季度营业费用急剧上升。
经验账户,在保险会计中用于追踪实际经验与假设之间差异的名义账户。,经验账户中记录的精算利得反映了好于预期的死亡率。
经验调整,精算假设与实际发生情况之间的差异。,经验调整在今年减少了设定受益计划义务。
到期日,合同或期权失效的日期。,该期权在到期日前未经行权而失效。
明确且无保留的遵循声明,声明财务报表完全遵循国际财务报告准则的声明。,必须作出明确且无保留的遵循国际财务报告准则的声明。
勘探和评价资产,因矿产勘探而产生的资产。,勘探和评价资产须进行减值测试。
勘探和评价支出,为寻找矿产资源以及确定技术可行性和商业可开发性而发生的成本。,在商业可开发性确定之前，勘探和评价支出被确认为资产。
矿产资源的勘探与评价,关于矿产勘探和评价资产的准则。,该准则涉及勘探和评价支出。
征求意见稿,为公开征求意见而发布的准则草案。,理事会发布了关于收入确认的征求意见稿。
重大资产的征收,政府对主体重大资产进行征收的行为。,重大资产被征收导致了大额减值损失。
以权益工具清偿金融负债,关于通过发行债务人自身权益工具清偿金融负债的会计处理指引。,根据以权益工具清偿金融负债的解释公告，该利得计入了当期损益。
非常项目,与日常经营活动明显不同的利得或损失。,国际财务报告准则不再允许单独列报非常项目。
（财务报表或附注的）表内,列报财务报表或附注内容的主体部分。,该披露在财务报表表内列报。
公允列报,在财务报表中如实反映交易。,公允列报要求如实反映主体的财务状况。
公允价值,在有序交易中出售一项资产所能收到的价格。,公允价值采用市场参与者的假设进行计量。
公允价值利得和损失,因在报告日将资产或负债重新计量至其公允价值而产生的利得或损失。,交易投资组合的公允价值利得和损失计入当期损益。
公允价值套期,对公允价值变动的套期。,公允价值套期抵销被套期项目价值的变动。
公允价值减去出售费用,资产的公允价值减去处置成本。,该机器按公允价值减去出售费用进行计量。
公允价值计量,在有序交易中出售一项资产所能收到的价格。,该建筑物的公允价值计量采用了近期市场数据。
公允价值模式,投资性房地产按公允价值进行后续计量、其变动计入当期损益的一种计量模式。,该公司对其全部投资性房地产采用公允价值模式。
如实反映,如实反映其所拟反映内容的信息。,如实反映要求信息完整、中立且无差错。
费用（服务费、会费）,为服务或会员资格支付的费用。,该主体向证券交易所支付了年度会费。
同一母公司下的子公司,与另一主体拥有同一母公司的子公司。,该子公司在同一集团内进行合并。
忠诚保证保险,针对员工不诚实行为提供的保险。,忠诚保证保险承保因员工欺诈造成的损失。
受托活动,主体代表他人持有或管理资产、而不将这些资产确认为自有资产的活动。,受托活动中持有的资产不在主体的财务状况表中予以确认。
受托身份,代表他人行事。,该银行以受托身份为客户提供服务。
先进先出法,存货成本计算方法：先购入的存货先发出。,在先进先出法下，最早的存货最先售出。
先进先出法成本计算公式,假定最早的存货项目最先售出的成本计算方法。,采用先进先出法对期末存货进行了计价。
融资租赁,实质上转移了与所有权相关的全部风险和报酬的租赁。,由于租赁期届满时所有权发生转移，该设备被确认为融资租赁。
融资租赁负债,由实质上转移所有权全部风险的租赁所产生的负债。,融资租赁负债划分为流动部分和非流动部分。
金融资产,指现金、权益工具或收取现金的合同权利等任何资产。,应收账款被确认为金融资产。
以公允价值计量且其变动计入当期损益的金融资产或金融负债,按公允价值计量且其变动计入当期损益的金融工具。,该衍生工具被归类为以公允价值计量且其变动计入当期损益的金融项目。
交易性金融资产或金融负债,为从短期价格变动中获利而持有的金融工具。,交易性金融资产按公允价值计量且其变动计入当期损益。
以反映已发生信用损失的折价取得的金融资产,以已反映已发生信用损失的价格购入的金融资产，其利息收入按经信用调整的实际利率计算。,对于以反映已发生信用损失的折价取得的金融资产，其利息收入采用经信用调整的实际利率予以确认。
财务资本,以货币计量的资本。,财务资本以名义货币单位进行保全。
金融集团,以跨行业金融活动为主导的集团。,该金融集团的业务遍及银行和保险。
财务担保,要求发行人在债务人违约时进行支付的合同。,母公司为子公司的贷款提供了财务担保。
财务担保合同,要求发行人在特定债务人未能履行其义务时进行支付的合同。,母公司就子公司贷款订立的财务担保合同作为或有负债予以披露。
金融机构,提供银行或保险等金融服务的主体。,该金融机构披露了其信用风险敞口。
金融工具,在一方形成金融资产、在另一方形成负债或权益的合同。,衍生工具是以公允价值计量的金融工具。
可按公允价值回售的金融工具,赋予持有人按公允价值将其回售的权利的金融工具。,在有限情况下，可回售工具可能被分类为权益。
金融工具：披露和列报,关于金融工具披露和列报的准则。,该准则处理金融工具的列报方式。
金融工具：披露,要求主体披露金融工具的重要性以及相关风险的性质和程度的准则。,该主体遵守了《金融工具：披露》准则的披露要求。
金融工具：列报,关于金融工具列报的准则。,该准则规范金融工具的列报。
金融工具：确认和计量,关于金融工具会计处理的国际会计准则第39号。,国际会计准则第39号涵盖金融工具的确认和计量。
金融负债,交付现金或另一项金融资产的合同义务。,该债券被分类为金融负债。
以公允价值计量且其变动计入当期损益的金融负债,初始和后续均以公允价值计量、其变动计入当期损益的金融负债。,这些交易性债券被指定为以公允价值计量且其变动计入当期损益的金融负债。
财务业绩,通过收入和费用计量的主体经营成果。,综合收益表反映财务业绩。
财务状况,主体在某一时点的经济资源、义务和权益。,财务状况表反映资产、负债和权益。
财务报告,报告主体的财务状况和经营业绩。,财务报告的目标是提供有用的信息。
恶性通货膨胀经济中的财务报告,要求在恶性通货膨胀下进行重述的准则。,主体在恶性通货膨胀经济中采用重述法。
合营中权益的财务报告,规范合营者如何报告其在共同控制实体和其他合营安排中权益的准则。,关于合营中权益财务报告的准则允许采用比例合并法或权益法。
财务评述,对主体财务状况的审查。,财务评述讨论主体的经营业绩。
金融风险,因金融价格变动而产生损失的风险。,金融风险包括汇率风险和利率风险敞口。
金融服务费,因管理或安排金融资产而收取的费用。,金融服务费已在一段时间内确认为收入。
财务报表,对主体财务状况和业绩的结构化表述，包括附注。,财务报表已于3月20日获批准报出。
财务年度累计基础,自财务年度年初起累计报告结果的基础。,中期报告按财务年度累计基础编制。
筹资活动,导致已缴权益和借款的规模及构成发生变化的活动。,银行借款所得款项被分类为筹资活动。
筹资手段,实质为筹资交易的安排。,该安排在实质上被评估为筹资手段。
居间费,支付给中介机构的费用。,居间费已在发生时计入费用。
产成品,已完成生产过程、可供销售的产品。,产成品按成本与可变现净值孰低计量。
确定承诺,对未来交易具有约束力的协议。,购买存货的确定承诺予以披露。
确定购买承诺,以固定条件购买商品的具有约束力的协议。,该确定购买承诺已针对价格变动进行了套期。
确定销售合同,以固定条件销售商品的具有约束力的协议。,这些确定销售合同锁定了未来一年的价格。
首份国际财务报告准则财务报表,主体采用国际财务报告准则并附有明确遵循声明的首份年度财务报表。,该公司呈报了截至12月31日年度的首份国际财务报告准则财务报表。
首个国际财务报告准则报告期间,主体呈报完整国际财务报告准则财务报表的最早期间。,首个国际财务报告准则报告期间要求重述比较数字。
先进先出法,假定最早取得的存货最先售出的存货成本计算方法。,该公司采用先进先出法对存货进行计价。
国际财务报告准则首次采用主体,首次呈报国际财务报告准则财务报表的主体。,首次采用主体在过渡时采用国际财务报告准则第1号。
首次采用,首次采用国际财务报告准则。,首次采用要求追溯应用。
国际财务报告准则的首次采用,规定主体首次采用国际财务报告准则时必须遵循的程序的准则。,在首次采用国际财务报告准则时，该主体编制了期初国际财务报告准则财务状况表。
首次应用,首次应用国际财务报告准则。,首次应用需要编制期初国际财务报告准则报表。
首次采用国际会计准则作为基本会计基础,针对采用国际会计准则作为基本会计基础的主体提供的指引。,首次应用要求重述比较金额。
固定资产,用于经营活动的长期有形资产。,新机器被记录为固定资产。
固定票息率,债券在其存续期内保持不变的合同利率。,该债券支付每年5%的固定票息率。
固定价格合同,价格既定且不发生变动的合同。,固定价格合同使承包商面临成本超支的风险。
固定生产间接费用,无论产量如何都保持相对稳定的间接生产成本。,固定生产间接费用按正常产能进行分配。
平坦收益率曲线,各期限利率相近的收益率曲线。,在平坦收益率曲线下，短期利率和长期利率相近。
浮动利率,会发生变动的利率或汇率。,该贷款承担与市场利率挂钩的浮动利率。
利率下限,利率或价格的下限，不得跌破该水平，常用于套期安排中。,利率下限保护该主体免受市场利率跌破约定水平的影响。
出于合并目的,为了编制合并报表的目的。,出于合并目的，采用统一的会计政策。
预测,对未来财务结果或状况的预计。,管理层编制了下一年度销售的预测。
预测交易,预期发生但尚未作出承诺的未来交易。,该预测交易已通过远期合同进行套期。
外币,报告主体记账本位币以外的货币。,以外币进行的交易按交易日的即期汇率折算。
外币借款,以主体记账本位币以外的货币计价的债务。,外币借款在折算中产生了汇兑差额。
外币衍生工具,现金流量由汇率驱动的衍生工具。,该集团签订了外币衍生工具以对其出口进行套期。
外币衍生工具,价值取决于汇率的衍生工具。,外币衍生工具被用于对风险敞口进行套期。
外币兑换价格,以外币表示的价格。,外币兑换价格被用于折算。
外币交易,以主体记账本位币以外的货币计价的交易。,外币交易在初始记录时采用交易日的即期汇率。
外币折算储备,归集折算差额的储备。,外币折算储备累积汇兑差额。
国外实体,位于另一国家的子公司或经营活动。,国外实体的资产按期末汇率折算。
外汇合同,按既定汇率兑换货币的协议。,公司签订了外汇合同以固定汇率。
汇兑差额,将以一种货币计价的金额折算成另一种货币所产生的利得或损失。,欧元贷款产生的汇兑差额已计入当期损益。
汇率,一种货币可兑换另一种货币的比率。,折算时采用报告日的汇率。
外汇——严重货币贬值所产生损失的资本化,允许将严重货币贬值产生的某些汇兑损失予以资本化的会计处理。,该主体采用了关于严重货币贬值所产生损失资本化的规定。
境外经营,在另一国家经营的子公司或分支机构。,境外经营的资产按期末汇率折算。
可免除贷款,贷款人可以免除偿还的贷款。,可免除贷款在被免除时作为政府补助处理。
原子公司,以前由母公司控制但不再是子公司的实体。,在原子公司中保留的权益按丧失控制权之日的公允价值计量。
远期合同,约定在未来某一日期购买或出售的合同。,远期合同固定了汇率。
远期票息率,由未来期间的远期利率所隐含的利率。,远期票息率被用于对该互换进行估值。
远期购买合同,按未来某一日期和价格购买资产的合同。,远期购买合同保障了原材料的供应。
远期回购协议,现在出售证券并在指定的未来日期按指定价格回购的安排。,根据远期回购协议出售的证券仍列示在资产负债表中。
概念框架,指导准则制定和应用的概念基础。,概念框架是编制财务报表的基础。
编报财务报表的框架,阐明财务报表编制所依据概念的概念框架。,该框架为会计政策的选择提供指导。
特许经营费,为取得使用特许人系统的权利而支付的费用。,初始特许经营费在赚取时确认为收入。
