Bolum,Ingilizce_Terim,Turkce_Anlami,Ingilizce_Tanim,Ornek_Ingilizce,Ornek_Turkce
C,Corporate assets,Şirket varlıkları,Assets that serve the entity as a whole.,Corporate assets are allocated when testing groups of units.,"Şirket varlıkları, birim grupları test edilirken dağıtılır."
C,Cost,Maliyet,The amount of resources sacrificed to acquire an asset.,The asset is measured at cost on initial recognition.,"Varlık, ilk muhasebeleştirmede maliyet bedeliyle ölçülür."
C,Cost formula,Maliyet hesaplama tekniği,A technique such as FIFO or weighted average assigning inventory costs.,The entity applies the weighted average cost formula to inventory.,"İşletme, stoklara ağırlıklı ortalama maliyet tekniğini uygular."
C,Cost method,Maliyet yöntemi ( yatırımlarla ilgili) (UMS 27) Maliyet yöntemi (stoklarla ilgili) (UMS 2),"A measurement method that records assets at their acquisition cost, used for certain investments and for inventory under specific rules.","Under the cost method, the subsidiary investment was carried at its original purchase price.","Maliyet yöntemi uyarınca, bağlı ortaklık yatırımı orijinal satın alma bedeli üzerinden taşınmıştır."
C,Cost model,Maliyet modeli,Accounting policy carrying assets at cost less depreciation.,The entity applies the cost model to its buildings.,"İşletme, binalarına maliyet modelini uygular."
C,Cost of an acquisition,Elde etme maliyeti,The consideration paid to obtain control of another entity.,The cost of an acquisition includes cash and equity issued.,"Elde etme maliyeti, nakit ve ihraç edilen özkaynağı içerir."
C,Cost of an asset acquired in exchange or part exchange for dissimilar asset,Benzer olmayan bir varlıkla tamamen veya kısmen takas edilen/değiştirilen varlığın maliyeti,Cost measured at fair value when assets of different nature are exchanged.,The cost of an asset exchanged for a dissimilar asset is its fair value.,"Benzer olmayan bir varlıkla değiştirilen varlığın maliyeti, gerçeğe uygun değeridir."
C,Cost of an asset acquired in exchange or part exchange for similar asset,Benzer bir varlıkla tamamen veya kısmen takas edilen/değiştirilen varlığın maliyeti,Cost when assets of a similar nature are exchanged.,"For similar assets, the cost is the carrying amount of the asset given up.","Benzer varlıklarda maliyet, verilen varlığın defter değeridir."
C,Cost of an investment,Yatırım maliyeti,"The amount paid or the fair value of consideration given to acquire an investment, including directly attributable transaction costs in some cases.",The cost of an investment in a subsidiary includes the fair value of the consideration transferred.,"Bir bağlı ortaklıktaki yatırımın maliyeti, devredilen bedelin gerçeğe uygun değerini içerir."
C,"Cost of an investment in a subsidiary, jointly controlled entity or associate","Bir bağlı ortaklıktaki, müştereken kontrol edilen işletmedeki veya iştirakteki bir yatırımın maliyeti",The cost of an investment in another entity.,The cost of the investment is measured at the fair value of the consideration.,"Yatırımın maliyeti, verilen bedelin gerçeğe uygun değeriyle ölçülür."
C,Cost of conversion,Dönüştürme maliyeti,Costs incurred to convert materials into finished goods.,Cost of conversion includes direct labour and overheads.,"Dönüştürme maliyeti, direkt işçilik ve genel üretim giderlerini içerir."
C,Cost of inventories,Stokların maliyeti,"The total cost of purchase, conversion, and other costs of inventory.",The cost of inventories includes conversion costs.,"Stokların maliyeti, dönüştürme maliyetlerini içerir."
C,Cost of inventories of a service provider,Hizmet sağlayan işletmelerin stok maliyeti,"The costs a service provider recognises for inventories, mainly labour and other costs directly related to providing the service.","For the consultancy, the cost of inventories of a service provider consisted primarily of direct staff time.","Danışmanlık işletmesi için hizmet sağlayan işletmelerin stok maliyeti, ağırlıklı olarak doğrudan personel zamanından oluşuyordu."
C,Cost of purchase,Satın alma maliyeti,Price paid plus directly attributable acquisition expenditures.,Inventory was measured at cost of purchase.,"Stoklar, satın alma maliyeti üzerinden ölçüldü."
C,Cost plus contract,Maliyet artı kâr sözleşmesi,A contract where the contractor is reimbursed costs plus a fee.,"Under a cost plus contract, allowable costs are reimbursed.","Maliyet artı kâr sözleşmesinde, uygun maliyetler karşılanır."
C,Cost plus method,Maliyet artı kar yöntemi (UMS 11) Geri,A transfer pricing method adding a mark-up to costs.,"Under the cost plus method, a mark-up is added to the supplier's costs.","Maliyet artı kar yönteminde, tedarikçinin maliyetlerine bir kâr marjı eklenir."
C,Cost recovery approach,Kazanılabilir maliyet yaklaşımı,Recognising revenue only up to recoverable costs.,The cost recovery approach recognises revenue to the extent of costs.,"Kazanılabilir maliyet yaklaşımı, hasılatı maliyetler ölçüsünde muhasebeleştirir."
C,Cost-based measurement,Maliyete dayalı ölçüm,"A measurement approach that records an item at its historical cost, adjusted for depreciation, amortisation or impairment.",Investment property held for own use is subject to cost-based measurement under the chosen model.,"Kendi kullanımı için elde tutulan yatırım amaçlı gayrimenkul, seçilen modele göre maliyete dayalı ölçüme tabidir."
C,Costs of conversion,Dönüştürme maliyetleri,Costs of converting materials into finished goods.,Costs of conversion include labour and overheads.,"Dönüştürme maliyetleri, işçilik ve genel giderleri içerir."
C,Costs of disposal,Elden çıkarma maliyetleri,Incremental costs directly attributable to disposing of an asset.,Costs of disposal are deducted from fair value.,"Elden çıkarma maliyetleri, gerçeğe uygun değerden düşülür."
C,Costs of Modifying Existing Software,Mevcut yazılımın geliştirilmesine yönelik maliyetler,Expenditures incurred to alter or upgrade already-acquired software.,Costs of modifying existing software were capitalised.,Mevcut yazılımın geliştirilmesine yönelik maliyetler aktifleştirilmiştir.
C,Costs to sell,Satış maliyetleri,"The incremental costs directly attributable to the disposal of an asset, excluding finance costs and income tax.",The asset was written down to fair value less costs to sell.,"Varlık, gerçeğe uygun değerinden satış maliyetleri düşülerek değer düşüklüğüne uğratılmıştır."
C,Counterparty,Karşı taraf,Other party to a financial instrument or transaction.,The counterparty failed to settle the derivative.,"Karşı taraf, türev işlemi kapatamadı."
C,Country of domicile,(İşletmenin) yönetim merkezinin bulunduğu ülke,The country where an entity has its registered or principal office.,The entity disclosed its country of domicile in the notes.,"İşletme, yönetim merkezinin bulunduğu ülkeyi dipnotlarda açıkladı."
C,Country of incorporation or residence,Şirketin kuruluş yeri veya ikametgâhı,The country where an entity is incorporated or resident.,The country of incorporation determines the applicable tax rules.,"Şirketin kuruluş yeri, uygulanacak vergi kurallarını belirler."
C,Coupon,Kupon,The interest payment on a bond.,The bond pays a fixed annual coupon.,"Tahvil, sabit yıllık kupon öder."
C,Create or enlarge an accounting mismatch,Yanlış muhasebe eşleşmesi yaratmak veya artırmak,"To cause or worsen a situation in which the recognition and measurement of related items are inconsistent, giving rise to measurement or recognition inconsistency.",An entity may use fair value option only if it eliminates or significantly reduces an accounting mismatch.,"Bir işletme, gerçeğe uygun değer opsiyonunu yalnızca yanlış muhasebe eşleşmesini ortadan kaldırıyor veya önemli ölçüde azaltıyorsa kullanabilir."
C,Credit derivative default product,Ödenmeme riskine karşı geliştirilen türev ürün,A derivative protecting against default.,The credit derivative transfers default risk.,"Kredi türevi, temerrüt riskini devreder."
C,Credit enhancements,Kredi güvenilirliğinde artış sağlayan unsurlar,Arrangements that improve the credit quality of an obligation.,Credit enhancements reduce the risk borne by investors.,"Kredi güvenilirliğini artıran unsurlar, yatırımcıların taşıdığı riski azaltır."
C,Credit exposures,Kredi riskleri,The amounts at risk of loss from counterparty default.,Credit exposures are monitored against approved limits.,"Kredi riskleri, onaylanmış limitlere göre izlenir."
C,Credit facilities,Kredi olanakları,Arrangements under which an entity may borrow funds from a lender up to an agreed limit.,The company secured additional credit facilities to fund its expansion.,"Şirket, büyümesini finanse etmek için ek kredi olanakları sağlamıştır."
C,Credit insurance contract,Kredi sigorta poliçesi,Insurance protecting against customer default on receivables.,The company holds a credit insurance contract on exports.,"Şirket, ihracatları için bir kredi sigorta poliçesi tutmaktadır."
C,Credit quality,Kredi kalitesi,An assessment of the creditworthiness of a financial asset or counterparty.,The entity disclosed the credit quality of its receivables.,"İşletme, alacaklarının kredi kalitesini açıkladı."
C,Credit risk,Kredi riski,The risk that a counterparty fails to meet its obligations.,The entity disclosed its maximum exposure to credit risk.,"İşletme, kredi riskine azami maruziyetini açıkladı."
C,Credit spread,Kredi marjı,The yield difference reflecting credit risk.,A wider credit spread increases the discount rate.,"Daha geniş kredi marjı, iskonto oranını artırır."
C,Creditors,Kredi verenler,Parties that have provided credit to an entity and to whom the entity owes money.,The financial statements provide useful information to existing and potential creditors.,"Finansal tablolar, mevcut ve potansiyel kredi verenlere faydalı bilgi sağlar."
C,Creditworthiness,Kredi değerliliği,The ability to repay debt.,The lender assessed the borrower's creditworthiness.,"Borç veren, borçlunun kredi değerliliğini değerlendirdi."
C,Criteria for recognising,Muhasebeleştirme koşulları,Conditions that must be met before an item is recorded.,The criteria for recognising a provision include a present obligation.,"Karşılık muhasebeleştirme koşulları, mevcut bir yükümlülüğü içerir."
C,Cross-reference,Çapraz atıf,A pointer linking information presented in different parts of the statements.,The note contains a cross-reference to the balance sheet.,"Not, bilançoya bir çapraz atıf içerir."
C,CTDs,Birikimli Çevirim Farkları,The cumulative exchange differences arising on translating the financial statements of a foreign operation.,"On disposal of the foreign subsidiary, the accumulated CTDs were reclassified to profit or loss.","Yurtdışı bağlı ortaklığın elden çıkarılması üzerine, birikmiş çevirim farkları kâr veya zarara yeniden sınıflandırılmıştır."
C,Cumulative additional depreciation,Birikmiş amortisman,Total extra depreciation charged since an asset's revaluation.,Cumulative additional depreciation was transferred to retained earnings.,"Birikmiş amortisman, dağıtılmamış kârlara aktarıldı."
C,Cumulative interest accreted,Birikimli faiz,Total interest accumulated on a financial instrument to date.,The cumulative interest accreted increased the carrying amount.,"Birikimli faiz, defter değerini artırdı."
C,Cumulative preference dividends,İmtiyazlı hisse senetleri birikimli temettüleri,Unpaid preference dividends that accumulate.,Cumulative preference dividends are deducted from profit for EPS.,"Birikimli imtiyazlı temettüler, HBK için kârdan düşülür."
C,Cumulative translation differences,Birikimli çevrim farkları,Exchange differences accumulated in equity.,Cumulative translation differences are reclassified on disposal.,"Birikimli çevrim farkları, elden çıkarmada yeniden sınıflandırılır."
C,Currency risk,Döviz riski,The risk that the fair value or future cash flows of a financial instrument will fluctuate because of changes in foreign exchange rates.,The entity discloses its currency risk exposure by currency and maturity.,"İşletme, döviz riski maruziyetini para birimi ve vade itibarıyla açıklar."
C,Currency translation,Farklı para birimine çevirme,Converting amounts into another currency.,Currency translation uses the closing rate for assets.,"Döviz çevriminde, varlıklar için kapanış kuru kullanılır."
C,Currency units,Para birimleri,The monetary units in which amounts are measured and presented.,Amounts are expressed in currency units of the reporting entity.,"Tutarlar, raporlayan işletmenin para birimleri cinsinden ifade edilir."
C,Current asset,Dönen varlık,An asset expected to be realised within the normal operating cycle.,Inventory is classified as a current asset.,"Stoklar, dönen varlık olarak sınıflandırılır."
C,Current cost,Cari maliyet,The amount of cash or cash equivalents that would have to be paid to acquire an asset at the present time.,The current cost of replacing the machinery was far higher than its historical cost.,"Makinenin yenilenmesinin cari maliyeti, tarihi maliyetinden çok daha yüksekti."
C,Current cost approach,Cari maliyet yaklaşımı,Measurement using the current cost to replace an asset.,The current cost approach reflects today's replacement prices.,"Cari maliyet yaklaşımı, bugünün yenileme fiyatlarını yansıtır."
C,Current investment,Kısa vadeli yatırım,An investment expected to be realised within one year.,The current investment is measured at fair value.,"Kısa vadeli yatırım, gerçeğe uygun değerle ölçülür."
C,Current liabilities,Kısa vadeli borçlar,Obligations expected to be settled within twelve months.,Trade payables are presented under current liabilities.,"Ticari borçlar, kısa vadeli borçlar altında sunulur."
C,Current offer price,Cari teklif fiyatı,The current quoted price of an instrument.,The fair value was based on the current offer price.,"Gerçeğe uygun değer, cari teklif fiyatına dayandırıldı."
C,Current service cost,Cari hizmet maliyeti,The increase in the present value of a defined benefit obligation resulting from employee service in the current period.,Current service cost is recognised immediately in profit or loss.,"Cari hizmet maliyeti, doğrudan kâr veya zararda muhasebeleştirilir."
C,Current tax,Dönem vergisi,Tax payable for the current period.,Current tax is measured using enacted tax rates.,"Dönem vergisi, yürürlükteki vergi oranlarıyla ölçülür."
C,Curtailment,Azaltma,A significant reduction in the scope of a defined benefit plan.,The plan curtailment reduced future benefit obligations.,"Plandaki azaltma, gelecekteki tazminat yükümlülüklerini düşürdü."
C,Cushions,Destekler,"Excess amounts providing protection, such as subordinated tranches absorbing losses.",Subordinated tranches act as cushions against losses.,"Bağımlı dilimler, zararlara karşı destek işlevi görür."
C,Customer list,Müşteri listesi,An intangible asset representing information about customers that is often recognised in a business combination.,The customer list acquired in the combination was recognised as an intangible asset.,"Birleşmede edinilen müşteri listesi, maddi olmayan duran varlık olarak muhasebeleştirilmiştir."
C,Customer Loyalty Programmes,Müşteri Sadakat Programları,Schemes awarding customers credits for future goods or services.,The airline's Customer Loyalty Programmes grant redeemable miles.,"Havayolunun Müşteri Sadakat Programları, kullanılabilir mil kazandırır."
C,Customer relationship intangible assets,Müşteri ilişkilerinden kaynaklanan maddi olmayan varlıklar,Intangible assets arising from relationships with existing customers.,Customer relationship intangible assets were recognised in the acquisition.,"Müşteri ilişkilerinden kaynaklanan maddi olmayan varlıklar, satın almada muhasebeleştirildi."
D,Database,Veri tabanı,An organised collection of data treated as an intangible asset.,The acquired database was recognised as an intangible asset.,"Edinilen veri tabanı, maddi olmayan duran varlık olarak muhasebeleştirildi."
D,Date of acquisition,Edinme tarihi,The date control of the acquiree is obtained.,Goodwill is measured at the date of acquisition.,"Şerefiye, edinme tarihinde ölçülür."
D,Date of exchange,Değişim tarihi,The date on which an exchange of assets or an acquisition transaction is recognised and measured.,The fair value of the asset was determined at the date of exchange.,"Varlığın gerçeğe uygun değeri, değişim tarihinde belirlendi."
D,Date of transition to IFRS,Uluslararası Finansal Raporlama Standartlarına (IFRS) geçiş tarihi,The start of the first IFRS reporting period.,The date of transition to IFRS determines the opening statement.,"IFRS'e geçiş tarihi, açılış tablosunu belirler."
D,Dealing securities,İşlem gören menkul kıymetler,Securities held for trading purposes by the entity.,Dealing securities are measured at fair value.,"İşlem gören menkul kıymetler, gerçeğe uygun değerle ölçülür."
D,Death benefit,Ölüm yardımı,An amount paid to beneficiaries upon the death of a member.,The plan provides a death benefit to the participant's family.,"Plan, katılımcının ailesine ölüm yardımı sağlar."
D,Debt,Borç,An obligation to transfer economic resources to another party as a result of past events.,Total debt increased after the company issued new bonds.,Şirket yeni tahvil ihraç ettikten sonra toplam borç artmıştır.
D,Debt for equity swaps,Borcun özkaynakla takası işlemleri,Transactions exchanging debt obligations for equity shares.,The restructuring included several debt for equity swaps.,"Yeniden yapılandırma, birkaç borcun özkaynakla takası işlemini içeriyordu."
D,Debt instrument,Borçlanma aracı,A financial instrument representing an obligation to pay.,A debt instrument may be measured at amortised cost.,"Bir borçlanma aracı, itfa edilmiş maliyetle ölçülebilir."
D,Debt securities,Borçlanma senetleri,Financial instruments representing a creditor relationship.,Debt securities are classified based on the business model.,"Borçlanma senetleri, iş modeline göre sınıflandırılır."
D,Debt-to-adjusted capital ratio,Düzeltilmiş sermaye oranı,A ratio of debt to adjusted capital.,The debt-to-adjusted capital ratio measures financial leverage.,"Düzeltilmiş sermaye oranı, finansal kaldıraçı ölçer."
D,Debt-to-equity ratio,Borcun özkaynağa oranı,"A financial ratio measuring total liabilities against shareholders' equity, indicating financial leverage and risk.",The entity's debt-to-equity ratio remained within the covenant limits agreed with its lender.,"İşletmenin borcun özkaynağa oranı, kredi vereniyle kararlaştırılan kredi sözleşmesi sınırları içinde kaldı."
D,Decision tree,Karar ağacı,A structured guide for making decisions.,A decision tree helps classify financial instruments.,"Karar ağacı, finansal araçların sınıflandırılmasına yardımcı olur."
D,Decision-useful information,Karar için yararlı bilgi,Information that helps users make economic decisions.,Financial statements should provide decision-useful information.,"Finansal tablolar, karar için yararlı bilgi sağlamalıdır."
D,Decommissioning,Hizmetten çekme,The process of removing an asset from service and restoring the site.,A provision was recognised for decommissioning the plant.,Tesisi hizmetten çekme için bir karşılık ayrılmıştır.
D,Decommissioning costs,Hizmetten çekme maliyetleri,Costs expected to be incurred in dismantling or restoring a site at the end of an asset's useful life.,A provision for decommissioning costs was recognised when the plant was constructed.,"Tesis inşa edildiğinde, hizmetten çekme maliyetleri için karşılık muhasebeleştirilmiştir."
D,Decommissioning funds,Hizmetten çekme fonu,Restricted assets set aside for future dismantling costs.,Decommissioning funds are held in a separate account.,"Hizmetten çekme fonu, ayrı bir hesapta tutulmaktadır."
D,Decommissioning obligations,Hizmetten çekme yükümlülükleri,Obligations to dismantle and restore a site after use.,Decommissioning obligations are recognised as a provision.,"Hizmetten çekme yükümlülükleri, karşılık olarak muhasebeleştirilir."
D,"Decommissioning, Restoration and Environmental Rehabilitation Funds","Hizmetten Çekme, Restorasyon ve Çevre Rehabilitasyon Fonlarından Kaynaklanan Paylar",Funds set aside for decommissioning and environmental restoration.,Contributions to decommissioning funds are recognised as an asset.,Hizmetten çekme fonlarına yapılan katkılar varlık olarak muhasebeleştirilir.
D,Deductible temporary difference,İndirilebilir geçici fark,A difference that reduces future taxable amounts.,A deductible temporary difference gives rise to a deferred tax asset.,"İndirilebilir geçici fark, ertelenmiş vergi varlığı doğurur."
D,Deemed cost,Tahmini/beklenen maliyet,"An amount used as a substitute for cost, such as fair value at the date of transition, on first-time adoption of IFRSs.","On first-time adoption, the entity elected fair value at transition date as deemed cost for its property.","İlk uygulamada işletme, arazisi için geçiş tarihindeki gerçeğe uygun değeri tahmini maliyet olarak seçti."
D,Defer,Erteleme,To postpone recognition.,The entity may defer recognition in limited cases.,"İşletme, sınırlı durumlarda muhasebeleştirmeyi erteleyebilir."
D,Deferral method,Erteleme yöntemi,An approach that spreads an item over future periods.,"Under the deferral method, the grant is recognised over time.","Erteleme yöntemine göre, hibe zaman içinde muhasebeleştirilir."
D,Deferred acquisition costs,Ertelenmiş poliçe edinim maliyetleri,Insurance acquisition costs recognised as an asset and amortised over time.,Deferred acquisition costs are amortised over the policy period.,"Ertelenmiş poliçe edinim maliyetleri, poliçe süresi boyunca itfa edilir."
D,Deferred income,Ertelenmiş gelir,A liability arising from payments received before the related revenue is earned.,The subscription fees received in advance were recorded as deferred income.,Peşin alınan abonelik ücretleri ertelenmiş gelir olarak kaydedilmiştir.
D,Deferred policy acquisition costs,Ertelenmiş politika edinme maliyetleri,Insurer's acquisition costs deferred and amortised over policy term.,Deferred policy acquisition costs are amortised over the contract.,"Ertelenmiş politika edinme maliyetleri, sözleşme süresi boyunca itfa edilir."
D,Deferred tax,Ertelenmiş vergi,Tax payable or recoverable in future periods from temporary differences.,Deferred tax arises from temporary differences.,"Ertelenmiş vergi, geçici farklardan kaynaklanır."
D,Deferred tax assets,Ertelenmiş vergi varlıkları,Tax recoverable in future periods from deductible differences.,A deferred tax asset is recognised to the extent recovery is probable.,"Ertelenmiş vergi varlığı, geri kazanımın muhtemel olduğu ölçüde muhasebeleştirilir."
D,Deferred tax income,Ertelenmiş vergi geliri,Tax income recognised from deferred tax.,Deferred tax income arose from the reversal of a temporary difference.,"Ertelenmiş vergi geliri, geçici farkın tersine dönmesinden doğdu."
D,Deferred tax liabilities,Ertelenmiş vergi borçları,Amounts of income tax payable in future periods in respect of taxable temporary differences.,Deferred tax liabilities arise from the temporary differences between the carrying amount and the tax base of assets.,"Ertelenmiş vergi borçları, varlıkların defter değeri ile vergi matrahı arasındaki geçici farklardan doğar."
D,Deficit balance,Eksi bakiye,A negative balance.,The plan had a deficit balance at year-end.,Planın yıl sonunda eksi bakiyesi vardı.
D,Defined benefit liability,Belirlenmiş tazminat borcu (kesintisi),The present value of promised retirement benefits less plan assets.,The defined benefit liability increased due to lower discount rates.,"Belirlenmiş tazminat borcu, düşen iskonto oranları nedeniyle arttı."
D,Defined benefit obligation,Belirlenmiş tazminat yükümlülüğü,The present value of promised retirement benefits owed to employees.,The defined benefit obligation was discounted using a market rate.,"Belirlenmiş tazminat yükümlülüğü, piyasa oranıyla iskonto edilmiştir."
D,Defined benefit obligation (present value of),Belirlenmiş tazminat yükümlülüğünün bugünkü değeri,The present value of expected future benefit payments required to settle employee service earned to date.,The actuary calculated the present value of the defined benefit obligation at the year end.,"Aktüer, yıl sonu itibarıyla belirlenmiş tazminat yükümlülüğünün bugünkü değerini hesaplamıştır."
D,Defined benefit plan,Tanımlanmış fayda planı,Post-employment plan promising specified benefits on retirement.,The defined benefit plan showed a large deficit.,"Tanımlanmış fayda planı, büyük bir açık gösterdi."
D,Defined benefit plans,Belirlenmiş fayda esaslı planlar,Post-employment plans where benefits are defined by a formula.,The defined benefit plan obligation is actuarially measured.,Belirlenmiş fayda esaslı plan yükümlülüğü aktüeryal olarak ölçülür.
D,Defined contribution plans,İşverenin tazminata katkı paylı (prim ödemeli) planları,Pension plans where the employer pays fixed contributions.,"Under defined contribution plans, the employer's obligation is limited to contributions.","Katkı paylı planlarda, işverenin yükümlülüğü ödenen katkı payıyla sınırlıdır."
D,Demand amount,Talep edilen tutar,An amount payable on demand.,The loan's demand amount is repayable immediately.,"Kredinin talep edilen tutarı, derhal geri ödenebilir."
D,Demand deposits,Vadesiz mevduat,Deposits that the depositor may withdraw at any time without prior notice.,Demand deposits are classified as current liabilities because they are repayable on call.,"Vadesiz mevduat, talep üzerine geri ödenebildiği için kısa vadeli yükümlülük olarak sınıflandırılır."
D,Demand feature,Talep edilme özelliği,A feature allowing the holder to demand redemption.,A demand feature may cause liability classification.,"Talep edilme özelliği, borç sınıflandırmasına yol açabilir."
D,Demerger,"Şirket bölünmesi, işletmenin bir bölümünü ayırarak elden çıkarma",The separation of a division into a distinct entity.,The demerger created two separately listed companies.,"Şirket bölünmesi, borsada ayrı işlem gören iki şirket oluşturdu."
D,Demonstrably committed,Taahhüt edilen tazminat,Being bound by a formal plan with no realistic possibility of withdrawal.,The entity was demonstrably committed to the restructuring plan.,"İşletme, yeniden yapılandırma planına taahhüt edilmiş durumdaydı."
D,Deposit account,Vadeli mevduat hesabı,A bank account holding funds on which interest is earned for a fixed term.,Surplus cash was placed in a one-year deposit account.,"Fazla nakit, bir yıllık vadeli mevduat hesabına yatırılmıştır."
D,Deposit accounting,Mevduata dayalı poliçeler,Method treating insurance contracts like financial deposits.,Deposit accounting applies to these short-duration contracts.,"Mevduata dayalı poliçeler, bu kısa süreli sözleşmelere uygulanır."
D,Deposit component,Yaşam sigortalarının mevduat birimi,The saving element embedded in an insurance contract.,The deposit component is separated from the insurance element.,"Mevduat birimi, sigorta unsurundan ayrılır."
D,Depreciable amount,Amortismana tabi tutar,Cost of an asset less its residual value.,The depreciable amount is allocated over the useful life.,"Amortismana tabi tutar, faydalı ömür boyunca dağıtılır."
D,Depreciable assets,Amortismana tabi varlıklar,Assets subject to depreciation.,Depreciable assets are written down over their useful lives.,"Amortismana tabi varlıklar, faydalı ömürleri boyunca itfa edilir."
D,Depreciable replacement cost approach,İtfa edilen yenileme maliyeti yaklaşımı,A valuation approach that estimates the current replacement cost of an asset and deducts accumulated depreciation and impairment.,The valuer applied the depreciable replacement cost approach to estimate the plant's fair value.,"Değerleyici, tesisin gerçeğe uygun değerini tahmin etmek için itfa edilen yenileme maliyeti yaklaşımını uyguladı."
D,Depreciation,Amortisman,Allocating a tangible asset's cost over its life.,Depreciation is charged on a straight-line basis.,"Amortisman, doğrusal yöntemle ayrılır."
D,Depreciation methods,Amortisman yöntemleri,Techniques for allocating the depreciable amount of an asset over time.,Depreciation methods include straight-line and reducing balance.,"Amortisman yöntemleri, doğrusal ve azalan bakiyeler yöntemini içerir."
D,Derecognise (a financial instrument),Finansal durum tablosu dışı bırakmak (bir finansal aracı),Removing a financial instrument from the statement of financial position.,The entity derecognised the financial asset upon transfer.,"İşletme, devir üzerine finansal varlığı finansal durum tablosu dışı bıraktı."
D,Derecognition,Finansal durum tablosu dışı bırakma,The removal of a previously recognised asset or liability from the statement of financial position.,Derecognition of the trade receivable followed the transfer of substantially all risks and rewards.,"Ticari alacağın finansal durum tablosu dışı bırakılması, risk ve getirilerin büyük ölçüde devredilmesini izlemiştir."
D,Derivative,Türev,Financial instrument whose value derives from an underlying.,The derivative is measured at fair value.,"Türev, gerçeğe uygun değer üzerinden ölçülür."
D,Derivative assets,Türev finansal varlıklar,Financial assets whose value derives from an underlying item.,Derivative assets are measured at fair value through profit or loss.,"Türev finansal varlıklar, kâr veya zararda gerçeğe uygun değerle ölçülür."
D,Derivative features,Türev araç özellikleri,Characteristics causing an instrument to behave like a derivative.,The host contract's derivative features required separate accounting.,Asıl sözleşmenin türev araç özellikleri ayrı muhasebeleştirme gerektirdi.
D,Derivative financial instruments,Türev finansal araçlar,Instruments whose value derives from an underlying item.,Derivative financial instruments are measured at fair value.,"Türev finansal araçlar, gerçeğe uygun değeriyle ölçülür."
D,Derivative liabilities,Türev finansal borçlar,Financial liabilities whose value changes in response to an underlying variable and are typically measured at fair value.,The derivative liabilities arising from the interest rate swap are measured at fair value through profit or loss.,"Faiz swapından kaynaklanan türev finansal borçlar, gerçeğe uygun değer farkı kâr veya zarara yansıtılarak ölçülür."
D,Designated and effective hedging instrument,Etkin bir finansal riskten korunma aracı,An instrument formally designated and effective for hedging.,The designated and effective hedging instrument offsets the risk.,"Etkin riskten korunma aracı, riski dengelemektedir."
D,Designation as at fair value through profit or loss,Gerçeğe uygun değer farkı kâr veya zarara yansıtılan olarak sınıflama,Choosing to measure a financial instrument at fair value through profit or loss.,The entity used designation as at fair value through profit or loss.,"İşletme, gerçeğe uygun değer farkı kâr veya zarara yansıtılan olarak sınıflama yaptı."
D,Determination of cost,Maliyetin belirlenmesi,The process of establishing the cost amount of an item.,The determination of cost follows the applicable cost formula.,"Maliyetin belirlenmesi, geçerli maliyet tekniğini izler."
D,Determining Whether an Arrangement Contains a Lease,Bir Anlaşmanın Kiralama İşlemi İçerip İçermediğinin Belirlenmesi,The guidance used to assess whether a contract conveys the right to use an asset in return for payment.,"Under the guidance on Determining Whether an Arrangement Contains a Lease, the contract was treated as a lease.","Bir Anlaşmanın Kiralama İşlemi İçerip İçermediğinin Belirlenmesi rehberliği uyarınca sözleşme, kiralama olarak değerlendirilmiştir."
D,Development,Geliştirme,Application of research findings to produce new or improved products.,Development costs were capitalised this year.,Geliştirme maliyetleri bu yıl aktifleştirildi.
D,Development costs,Geliştirme maliyetleri,Costs incurred to develop products or processes that may be capitalised.,Development costs were capitalised as an intangible asset.,"Geliştirme maliyetleri, maddi olmayan duran varlık olarak aktifleştirildi."
D,Diluted earnings per share,Seyreltilmiş hisse başına kazanç,EPS adjusted for the effect of all dilutive potential shares.,Diluted earnings per share reflects the convertible bond.,"Seyreltilmiş hisse başına kazanç, dönüştürülebilir tahvili yansıtır."
D,Dilution,Seyreltme,A reduction in earnings per share from potential shares.,The convertible bonds caused a dilution of EPS.,"Dönüştürülebilir tahviller, HBK'da seyreltmeye neden oldu."
D,Dilutive effect,Seyreltici etki,The reduction in earnings per share that would occur if potential ordinary shares were converted into ordinary shares.,The share options have a dilutive effect on basic earnings per share.,Hisse senedi opsiyonlarının temel hisse başına kazanç üzerinde seyreltici etkisi vardır.
D,Dilutive potential ordinary shares,Seyreltme etkisi olan potansiyel hisse senetleri,Potential shares that reduce earnings per share.,Dilutive potential ordinary shares reduce basic EPS.,"Seyreltme etkisi olan potansiyel hisseler, temel HBK'yı azaltır."
D,Diminishing balance method,Azalan bakiyeler yöntemi,A depreciation method applying a fixed rate to the reducing carrying amount.,The diminishing balance method charges higher depreciation early.,"Azalan bakiyeler yöntemi, başlangıçta daha yüksek amortisman kaydeder."
D,Direct insurance contract,Direkt sigorta poliçesi (Reasürans niteliği taşimayan sigorta sözleşmeleri ise endirekt sigorta poliçesi),An insurance contract that is not a reinsurance contract.,A direct insurance contract covers the policyholder's own risk.,"Direkt sigorta poliçesi, poliçe sahibinin kendi riskini kapsar."
D,Direct labour,Direkt işçilik,The cost of workers directly involved in producing goods or delivering services.,Direct labour and materials are included in the cost of the finished goods.,"Direkt işçilik ve malzemeler, mamul malların maliyetine dahil edilir."
