Bolum,Ingilizce_Terim,Almanca_Anlami,Almanca_Tanim,Ornek_Almanca
C,Consolidated statement of financial position,Konsolidierte Übersicht über die Vermögens- und Finanzlage (Konzernbilanz),"Eine Konzernbilanz, die Mutterunternehmen und Tochterunternehmen zusammenfasst.",Die konsolidierte Übersicht über die Vermögens- und Finanzlage eliminiert konzerninterne Salden.
C,Consolidation,Konsolidierung,"Der Prozess, bei dem die Abschlüsse eines Mutterunternehmens und seiner Tochterunternehmen zu einem einzigen Abschluss zusammengefasst werden.",Für alle vom Mutterunternehmen beherrschten Tochterunternehmen ist eine Konsolidierung erforderlich.
C,Consolidation adjustments,Konsolidierungsberichtigungen,"Berichtigungen, die bei der Konsolidierung der Abschlüsse vorgenommen werden.",Konsolidierungsberichtigungen eliminieren konzerninterne Gewinne (Zwischenerfolge).
C,Consolidation and Equity Method – Potential Voting Rights and Allocation of Ownership Interests,Konsolidierung und Equity-Methode – Potenzielle Stimmrechte und Verteilung der Eigentumsanteile,Leitlinien zu potenziellen Stimmrechten und zur Zuordnung von Eigentumsanteilen.,Potenzielle Stimmrechte beeinflussen die Konsolidierung und die Equity-Methode.
C,Consolidation purposes,Konsolidierungszwecke,"Die Ziele, die mit der Zusammenfassung eines Mutterunternehmens und seiner Tochterunternehmen verfolgt werden.",Für Konsolidierungszwecke werden einheitliche Rechnungslegungsmethoden angewendet.
C,Consolidation—special purpose entities,Konsolidierung – Zweckgesellschaften (Special Purpose Entities),"Leitlinien dazu, wann ein Unternehmen eine von ihm beherrschte Zweckgesellschaft konsolidieren muss.",Nach den Regeln zur Konsolidierung von Zweckgesellschaften wurde der Fonds in den Konzernabschluss einbezogen.
C,Construction contract,Bauvertrag / Bauleistungsvertrag,Ein Vertrag über die Errichtung von Vermögenswerten über einen vereinbarten Zeitraum.,Die Umsatzerlöse aus dem Bauvertrag werden im Zeitverlauf angesetzt.
C,Construction Contracts,Bauverträge (Bauleistungsverträge),"Verträge, die speziell für die Errichtung eines Vermögenswerts ausgehandelt werden.",Umsatzerlöse aus Bauverträgen werden nach dem Fertigstellungsgrad angesetzt.
C,Construction or upgrade services,Bau- oder Ausbauleistungen,"Leistungen, die Infrastrukturvermögenswerte errichten oder verbessern.",Umsatzerlöse aus Bau- oder Ausbauleistungen werden im Zeitverlauf angesetzt.
C,Constructive obligation,Faktische (schlüssige) Verpflichtung,"Eine Verpflichtung, die aus einer etablierten Praxis oder einer erklärten Politik entsteht.",Eine faktische Verpflichtung kann aus einer veröffentlichten Politik entstehen.
C,Consumer price index,Verbraucherpreisindex (VPI),"Ein Maß für die durchschnittliche Veränderung der Preise, die Verbraucher für einen Warenkorb aus Gütern und Dienstleistungen zahlen, im Zeitablauf.","Die Wirtschaft wurde als hochinflationär eingestuft, weil der kumulierte Verbraucherpreisindex über drei Jahre 100 Prozent überstieg."
C,Contingency,Bedingter (ungewisser) Sachverhalt,"Eine Gegebenheit, deren Ausgang ungewiss ist.","Der bedingte Sachverhalt wurde offengelegt, aber nicht angesetzt."
C,Contingent asset,Eventualvermögenswert / bedingter Vermögenswert,"Ein möglicher Vermögenswert, der aus vergangenen Ereignissen entsteht und erst durch künftige Ereignisse bestätigt wird.","Der Eventualvermögenswert wird offengelegt, aber nicht angesetzt."
C,Contingent consideration,Bedingte Gegenleistung (Earn-out),"Eine zusätzliche Gegenleistung, deren Zahlung von künftigen Ereignissen oder Ergebnissen abhängt.",Die bedingte Gegenleistung wird zum Erwerbszeitpunkt zum beizulegenden Zeitwert bewertet.
C,Contingent consideration arrangement,Bedingte Gegenleistungsvereinbarung (Earn-out-Vereinbarung),"Eine Vereinbarung, bei der in einem Unternehmenszusammenschluss eine zusätzliche Gegenleistung zu zahlen ist, wenn bestimmte künftige Ereignisse eintreten.","Die bedingte Gegenleistungsvereinbarung verpflichtete den Erwerber zu einer höheren Zahlung, wenn die Gewinnziele erreicht wurden."
C,Contingent liability,Eventualverbindlichkeit / bedingte Verpflichtung,"Eine mögliche Verpflichtung, die von ungewissen künftigen Ereignissen abhängt.","Eine Eventualverbindlichkeit wurde offengelegt, aber nicht angesetzt."
C,Contingent rent,Bedingte (variable) Miete,"Mietzahlungen, die je nach künftigen Gegebenheiten variieren.",Die bedingte Miete hängt vom Umsatzvolumen des Mieters ab.
C,Contingent settlement provision,Bestimmung über die bedingte Ausgleichszahlung (Klausel zur bedingten Erfüllung),"Eine Bestimmung, deren Erfüllung von künftigen Ereignissen abhängt.",Für die Garantie wurde eine Bestimmung über die bedingte Ausgleichszahlung angesetzt.
C,Contingent share agreement,Vereinbarung über die bedingte Ausgabe von Aktien,"Eine Vereinbarung, deren Aktienausgabe von bestimmten Bedingungen abhängig ist.",Die Vereinbarung über die bedingte Aktienausgabe hängt von künftigen Gewinnen ab.
C,Contingently issuable ordinary shares,Bedingt auszugebende gewöhnliche Aktien (Stammaktien),"Gewöhnliche Aktien, die das Unternehmen bei Eintritt bestimmter Bedingungen ausgeben muss; sie werden in die Berechnung des verwässerten Gewinns je Aktie einbezogen.",Bedingt auszugebende Stammaktien werden bei Erfüllung der Bedingungen in die Berechnung des verwässerten Gewinns je Aktie einbezogen.
C,Contingently issuable shares,Bedingt auszugebende Aktien,"Aktien, die nur ausgegeben werden, wenn bestimmte Bedingungen erfüllt sind.",Bedingt auszugebende Aktien werden bei Erfüllung der Bedingungen in den verwässerten Gewinn je Aktie einbezogen.
C,Continuing involvement,Fortgesetzte Beteiligung / weiterbestehendes Engagement,Die fortlaufende Exposition des Übertragenden gegenüber den von ihm behaltenen übertragenen Vermögenswerten.,Der Übertragende behielt seine fortgesetzte Beteiligung an den Forderungen.
C,Continuing involvement approach,Methode der fortgesetzten Beteiligung,Eine Methode zur Bewertung der nach Übertragung eines Finanzvermögenswerts behaltenen Beteiligungen.,Auf die übertragenen Forderungen wurde die Methode der fortgesetzten Beteiligung angewendet.
C,Continuing operations,Fortgeführte Geschäftstätigkeiten,"Die Geschäftstätigkeiten eines Unternehmens, die nicht eingestellt wurden und in der Gewinn- und Verlustrechnung gesondert dargestellt werden.",Der Gewinn aus fortgeführten Geschäftstätigkeiten stieg trotz der Veräußerung der Handelssparte.
C,Contract,Vertrag,"Eine Vereinbarung, die zwischen den Parteien durchsetzbare Rechte und Pflichten begründet.",Der Vertrag wurde im Juni von beiden Parteien unterzeichnet.
C,Contract-based intangible assets,Vertragsbasierte immaterielle Vermögenswerte,"Immaterielle Vermögenswerte, die aus vertraglichen oder gesetzlichen Rechten entstehen.",Lizenzen sind vertragsbasierte immaterielle Vermögenswerte.
C,Contracts that may be settled in (ordinary) shares or cash,"Verträge, deren Erfüllung in (gewöhnlichen) Aktien oder bar erfolgen kann","Verträge, die dem Unternehmen oder dem Inhaber die Wahl zwischen Aktien oder bar lassen.",In Aktien oder bar erfüllbare Verträge werden als hybride Instrumente behandelt.
C,Contractual arrangement,Vertragliche Vereinbarung,"Eine Vereinbarung, die durch einen Vertrag geregelt ist.",Die Leistung wird auf Grundlage einer vertraglichen Vereinbarung erbracht.
C,Contractual cash flows,Vertragliche Zahlungsströme,"Die von den Vertragsbedingungen vorgegebenen Zahlungsströme, die herangezogen werden, um zu beurteilen, ob ein Finanzvermögenswert dem Test auf ausschließlich Zahlungen von Kapital und Zinsen (SPPI) entspricht.","Das Geschäftsmodell wird danach beurteilt, wie die vertraglichen Zahlungsströme eingezogen werden."
C,Contractual completion,Vertragliche Fertigstellung (Erfüllung der Vertragspflichten),"Das Datum, an dem die vertraglichen Verpflichtungen erfüllt sind.",Umsatzerlöse können bei vertraglicher Fertigstellung angesetzt werden.
C,Contractual maturity analysis,Vertragliche Fälligkeitsanalyse,"Analyse des Zeitpunkts, zu dem Finanzverbindlichkeiten vertraglich fällig werden.",Die vertragliche Fälligkeitsanalyse weist die Zahlungsströme nach Perioden aus.
C,Contractual obligation,Vertragliche Verpflichtung,Eine kraft Gesetzes durchsetzbare Pflicht aus einem Vertrag.,"Das Unternehmen war vertraglich verpflichtet, die Waren zu liefern."
C,Contractual right to receive the cash flows,Vertragliches Recht auf den Empfang der Zahlungsströme,Ein aus einem Vertrag entstehender Rechtsanspruch auf die Zahlungsströme eines Finanzvermögenswerts.,Das Unternehmen übertrug sein vertragliches Recht auf den Empfang der Zahlungsströme an die Factoringgesellschaft.
C,Contractual rights,Vertragliche Rechte,Durchsetzbare Rechte aus einem Vertrag.,Der Firmenwert umfasst bestimmte vertragliche Rechte.
C,Contractual terms and conditions,Vertragliche Konditionen und Bedingungen,"Die vereinbarten Bestimmungen, die die Rechte und Pflichten eines Vertrags regeln.",Die Klassifizierung des Instruments hängt von seinen vertraglichen Konditionen und Bedingungen ab.
C,Contractual-legal criterion,Vertraglich-rechtliches Kriterium,Kriterium zur Identifizierung eines immateriellen Vermögenswerts anhand gesetzlicher oder vertraglicher Rechte.,Das vertraglich-rechtliche Kriterium unterstützte den Ansatz des immateriellen Vermögenswerts.
C,Contractually linked instruments,Vertraglich verknüpfte Instrumente,"Instrumente, deren Zahlungsströme vertraglich miteinander verknüpft sind.",Vertraglich verknüpfte Instrumente werden als Gruppe beurteilt.
C,Contributed equity,Eingezahltes Kapital,Der von den Aktionären im Austausch gegen Aktien des Unternehmens eingebrachte Kapitalbetrag.,Das eingezahlte Kapital stieg nach der Ausgabe neuer Aktien an die bestehenden Aktionäre.
C,Contribution,Beitrag / Einlage,Eine Zahlung in einen Plan oder durch die Eigentümer.,Der Beitrag zum Pensionsplan wurde jährlich gezahlt.
C,Contributor,Beitragszahler,"Eine Partei, die einem Arrangement Vermögenswerte oder Mittel zur Verfügung stellt.",Jeder Beitragszahler erhält Leistungen im Verhältnis zu seinem Anteil.
C,Control,Beherrschung / Kontrolle,"Die Macht, die Finanz- und Geschäftspolitik eines Unternehmens zu steuern, um Nutzen zu ziehen.",Das Mutterunternehmen hat die Beherrschung über sein Tochterunternehmen.
C,Control (of an asset),Beherrschung (Kontrolle) eines Vermögenswerts,"Die Macht, die wirtschaftlichen Vorteile aus einem Vermögenswert zu ziehen und anderen den Zugang zu diesen Vorteilen zu verwehren.",Der Leasingnehmer erlangte die Kontrolle über den Vermögenswert und setzte einen Nutzungsrechtsvermögenswert an.
C,Control (of an enterprise),Beherrschung eines Unternehmens,"Die Macht, die Finanz- und Geschäftspolitik eines Unternehmens zu steuern.",Die Beherrschung des Unternehmens wurde im Oktober erlangt.
C,Control (of an entity),Beherrschung (eines Unternehmens),"Die Macht, die Finanz- und Geschäftspolitik zu steuern, um Nutzen zu ziehen.",Das Mutterunternehmen erlangte im März die Beherrschung über das Tochterunternehmen.
C,Control number,Kontrollzahl,"Eine Zahl, die den verbleibenden Effekt potenzieller gewöhnlicher Aktien belegt.",Die Kontrollzahl bestätigt die Ausgangslage beim verwässerten Verlust je Aktie.
C,Controlled entity,Beherrschtes Unternehmen,"Ein Unternehmen, das von einem anderen Unternehmen beherrscht wird.",Ein beherrschtes Unternehmen wird von seinem Mutterunternehmen konsolidiert.
C,Convenience translation,Leseübersetzung (Übersetzung zu Lesezwecken),"Die Übersetzung von Finanzberichten in eine andere Währung ausschließlich zu Lesezwecken, ohne eine Neubewertung nach den Standards.",Die Leseübersetzung der Finanzberichte wurde mit dem Periodenschlusskurs erstellt.
C,Convergence,Konvergenz,Die Angleichung nationaler und internationaler Standards.,"Die Konvergenz zielt darauf ab, Rechnungslegungsstandards weltweit zu harmonisieren."
C,Conversion factor,Umrechnungsfaktor / Umtauschverhältnis,"Das Verhältnis, mit dem ein wandelbares Instrument in Aktien umgerechnet wird.",Der Umrechnungsfaktor bestimmt die Anzahl der Aktien je Anleihe.
C,Conversion option,Wandlungsoption / Umtauschoption,"Ein Recht, ein Finanzinstrument in ein anderes umzutauschen.",Die Wandlungsoption ist ein eingebettetes Derivat in der Anleihe.
C,Convertible bonds,Wandelanleihen,"Anleihen, die der Inhaber in eine feste Anzahl von gewöhnlichen Aktien des Emittenten umtauschen kann.",Die Wandelanleihen wurden in eine Fremdkapital- und eine Eigenkapitalkomponente aufgespalten.
C,Convertible debt,Wandelbare Verbindlichkeit / Wandelschuldverschreibung,"Schulden, die in Eigenkapitalanteile des Emittenten umgetauscht werden können.",Die wandelbare Verbindlichkeit wurde in Fremdkapital und Eigenkapital aufgespalten.
C,Convertible instruments,Wandelbare Instrumente,"Finanzinstrumente, die in Eigenkapitalanteile umgewandelt werden können.",Wandelbare Instrumente werden in Fremdkapital- und Eigenkapitalkomponenten aufgespalten.
C,Convertible preference share,Wandelbare Vorzugsaktie,"Eine Vorzugsaktie, die in Stammaktien umgewandelt werden kann.",Wandelbare Vorzugsaktien werden in den verwässerten Gewinn je Aktie einbezogen.
C,Copyright,Urheberrecht,Ein gesetzliches Recht an kreativen Werken.,Das Urheberrecht wurde als immaterieller Vermögenswert angesetzt.
C,Core goodwill,Kernfirmenwert,"Der Teil des Firmenwerts, der die erwarteten Synergien und das Going-Concern-Element des erworbenen Unternehmens darstellt.",Der Kernfirmenwert repräsentiert die erwarteten Synergien aus der Zusammenführung der beiden Unternehmen.
C,Corporate assets,Zentrale (unternehmensweite) Vermögenswerte,"Vermögenswerte, die dem Unternehmen als Ganzem dienen.",Zentrale Vermögenswerte werden bei der Prüfung von Gruppen zahlungsmittelerzeugender Einheiten zugeordnet.
C,Cost,Kosten / Anschaffungskosten,"Der Betrag an Ressourcen, der für den Erwerb eines Vermögenswerts geopfert wurde.",Der Vermögenswert wird bei erstmaligem Ansatz zu Anschaffungskosten bewertet.
C,Cost formula,Kostenformel,"Eine Technik wie FIFO oder gewichteter Durchschnitt, die den Vorräten Kosten zuordnet.",Das Unternehmen wendet auf die Vorräte die gewichtete Durchschnittskostenformel an.
C,Cost method,Kostenmethode (Anschaffungswertmethode),"Eine Bewertungsmethode, bei der Vermögenswerte zu ihren Anschaffungskosten erfasst werden; sie wird für bestimmte Beteiligungen und unter besonderen Regeln für Vorräte angewendet.",Nach der Kostenmethode wurde die Beteiligung am Tochterunternehmen zu den ursprünglichen Anschaffungskosten fortgeführt.
C,Cost model,Kostenmodell (Bewertung zu Anschaffungskosten),"Eine Rechnungslegungsmethode, bei der Vermögenswerte zu Anschaffungskosten abzüglich Abschreibungen fortgeführt werden.",Das Unternehmen wendet auf seine Gebäude das Kostenmodell an.
C,Cost of an acquisition,Erwerbskosten (Kosten der Akquisition),"Die gezahlte Gegenleistung, um die Beherrschung eines anderen Unternehmens zu erlangen.",Die Erwerbskosten umfassen Zahlungsmittel und ausgegebenes Eigenkapital.
C,Cost of an asset acquired in exchange or part exchange for dissimilar asset,Anschaffungskosten eines im (Teil-)Tausch gegen einen ungleichartigen Vermögenswert erworbenen Vermögenswerts,Beim Tausch von Vermögenswerten unterschiedlicher Art werden die Kosten zum beizulegenden Zeitwert bemessen.,Die Kosten eines gegen einen ungleichartigen Vermögenswert getauschten Vermögenswerts entsprechen seinem beizulegenden Zeitwert.
C,Cost of an asset acquired in exchange or part exchange for similar asset,Anschaffungskosten eines im (Teil-)Tausch gegen einen gleichartigen Vermögenswert erworbenen Vermögenswerts,Kosten beim Tausch von Vermögenswerten gleichartiger Natur.,Bei gleichartigen Vermögenswerten entsprechen die Kosten dem Buchwert des hingegebenen Vermögenswerts.
C,Cost of an investment,Kosten einer Beteiligung (Investition),"Der gezahlte Betrag oder der beizulegende Zeitwert der gegebenen Gegenleistung zum Erwerb einer Beteiligung, in bestimmten Fällen einschließlich der direkt zurechenbaren Transaktionskosten.",Die Kosten einer Beteiligung an einem Tochterunternehmen umfassen den beizulegenden Zeitwert der übertragenen Gegenleistung.
C,"Cost of an investment in a subsidiary, jointly controlled entity or associate","Kosten einer Beteiligung an einem Tochterunternehmen, einem gemeinsam beherrschten Unternehmen oder einem assoziierten Unternehmen",Die Kosten einer Beteiligung an einem anderen Unternehmen.,Die Kosten der Beteiligung werden zum beizulegenden Zeitwert der Gegenleistung bemessen.
C,Cost of conversion,Herstellungskosten (Fertigungskosten),"Kosten, die bei der Umwandlung von Material in Fertigerzeugnisse anfallen.",Die Herstellungskosten umfassen Einzelarbeitslöhne und Gemeinkosten der Fertigung.
C,Cost of inventories,Kosten der Vorräte,"Die Gesamtkosten aus Beschaffung, Fertigung und sonstigen Kosten der Vorräte.",Die Kosten der Vorräte umfassen die Fertigungskosten.
C,Cost of inventories of a service provider,Kosten der Vorräte eines Dienstleistungsunternehmens,"Die Kosten, die ein Dienstleister für Vorräte ansetzt, im Wesentlichen Arbeitsleistungen und andere Kosten, die unmittelbar mit der Erbringung der Dienstleistung zusammenhängen.",Für die Beratungsgesellschaft bestanden die Kosten der Vorräte eines Dienstleistungsunternehmens überwiegend aus der direkt eingesetzten Personalzeit.
C,Cost of purchase,Anschaffungskosten / Beschaffungskosten,Der gezahlte Preis zuzüglich der direkt zurechenbaren Erwerbsaufwendungen.,Die Vorräte wurden zu Anschaffungskosten bewertet.
C,Cost plus contract,Kostenzuschlagsvertrag (Cost-plus-Vertrag),"Ein Vertrag, bei dem dem Auftragnehmer die Kosten zuzüglich einer Vergütung erstattet werden.",Nach einem Kostenzuschlagsvertrag werden die anrechenbaren Kosten erstattet.
C,Cost plus method,Kostenaufschlagmethode (Cost-plus-Methode),"Eine Verrechnungspreismethode, bei der den Kosten ein Gewinnaufschlag hinzugerechnet wird.",Bei der Kostenaufschlagmethode wird auf die Kosten des Lieferanten ein Gewinnaufschlag addiert.
C,Cost recovery approach,Kostendeckungsansatz,Der Ansatz von Umsatzerlösen nur bis zur Höhe der wiedereinbringbaren Kosten.,Der Kostendeckungsansatz setzt Umsatzerlöse nur in Höhe der Kosten an.
C,Cost-based measurement,Bewertung auf Basis historischer Kosten (Anschaffungskostenbewertung),"Ein Bewertungsansatz, bei dem ein Posten zu seinen historischen Anschaffungs- bzw. Herstellkosten, angepasst um Abschreibungen oder Wertminderungen, erfasst wird.",Zu eigenen Nutzungszwecken gehaltene Investitionsimmobilien unterliegen nach dem gewählten Modell der Bewertung auf Basis historischer Kosten.
C,Costs of conversion,Herstellungskosten / Kosten der Fertigung,"Kosten, die bei der Umwandlung von Materialien in Fertigerzeugnisse anfallen.",Zu den Kosten der Fertigung gehören Arbeitslöhne und Gemeinkosten.
C,Costs of disposal,Veräußerungskosten / Kosten der Veräußerung,"Direkt zurechenbare zusätzliche Kosten, die unmittelbar mit der Veräußerung eines Vermögenswerts verbunden sind.",Die Veräußerungskosten werden vom beizulegenden Zeitwert abgezogen.
C,Costs of Modifying Existing Software,Kosten für Änderungen bestehender Software,"Aufwendungen, die für die Änderung oder Aufrüstung bereits erworbener Software anfallen.",Die Kosten für Änderungen bestehender Software wurden aktiviert.
C,Costs to sell,Veräußerungskosten / Verkaufskosten,"Die direkt zurechenbaren zusätzlichen Kosten der Veräußerung eines Vermögenswerts, ausgenommen Finanzierungsaufwendungen und Einkommensteuern.",Der Vermögenswert wurde auf den beizulegenden Zeitwert abzüglich der Veräußerungskosten abgeschrieben.
C,Counterparty,Kontrahent / Vertragsgegner,Die andere Partei eines Finanzinstruments oder einer Transaktion.,Der Kontrahent kam der Abwicklung des Derivats nicht nach.
C,Country of domicile,Sitzstaat / Land der Hauptverwaltung,"Das Land, in dem ein Unternehmen seinen eingetragenen Sitz oder seine Hauptverwaltung hat.",Das Unternehmen hat seinen Sitzstaat im Anhang offengelegt.
C,Country of incorporation or residence,Land der Gründung oder des Sitzes,"Das Land, in dem ein Unternehmen gegründet wurde oder ansässig ist.",Das Gründungsland bestimmt die anwendbaren Steuervorschriften.
C,Coupon,Kupon / Nominalzins,Die Zinszahlung einer Anleihe.,Die Anleihe zahlt einen festen jährlichen Kupon.
C,Create or enlarge an accounting mismatch,Eine bilanzielle Inkongruenz (Bilanzierungsinkongruenz) begründen oder vergrößern,"Eine Situation herbeiführen oder verschärfen, in der Ansatz und Bewertung zusammengehöriger Posten uneinheitlich sind, sodass eine Bewertungs- oder Ansatzinkongruenz entsteht.","Ein Unternehmen darf die Fair-Value-Option nur anwenden, wenn sie eine bilanzielle Inkongruenz beseitigt oder erheblich verringert."
C,Credit derivative default product,Kreditderivat zur Absicherung gegen Ausfall,"Ein Derivat, das Schutz gegen den Ausfall eines Schuldners bietet.",Das Kreditderivat überträgt das Ausfallrisiko.
C,Credit enhancements,Bonitätsverbessernde Maßnahmen / Bonitätsverstärkungen,"Vereinbarungen, die die Kreditqualität einer Verpflichtung verbessern.",Bonitätsverstärkungen verringern das von den Investoren getragene Risiko.
C,Credit exposures,Kreditrisiken / Kreditengagements,"Die Beträge, die durch den Ausfall eines Kontrahenten verlustgefährdet sind.",Die Kreditrisiken werden anhand genehmigter Limits überwacht.
C,Credit facilities,Kreditlinien,"Vereinbarungen, nach denen ein Unternehmen von einem Kreditgeber bis zu einer vereinbarten Höhe Mittel aufnehmen kann.",Das Unternehmen hat zur Finanzierung seiner Expansion zusätzliche Kreditlinien gesichert.
C,Credit insurance contract,Kreditversicherungsvertrag / Kreditversicherungspolice,"Eine Versicherung, die gegen den Ausfall von Kunden bei Forderungen schützt.",Das Unternehmen unterhält für seine Exporte einen Kreditversicherungsvertrag.
C,Credit quality,Kreditqualität / Bonität,Eine Beurteilung der Kreditwürdigkeit eines Finanzvermögenswerts oder eines Kontrahenten.,Das Unternehmen hat die Kreditqualität seiner Forderungen offengelegt.
C,Credit risk,Kreditrisiko / Ausfallrisiko,"Das Risiko, dass ein Kontrahent seinen Verpflichtungen nicht nachkommt.",Das Unternehmen hat seine maximale Kreditrisikoexposition offengelegt.
C,Credit spread,Kreditrisikomarge / Bonitätsrisikoprämie,"Die Renditedifferenz, die das Kreditrisiko widerspiegelt.",Eine weitere Kreditrisikomarge erhöht den Abzinsungssatz.
C,Creditors,Gläubiger,"Parteien, die einem Unternehmen Kredit eingeräumt haben und denen das Unternehmen Geld schuldet.",Der Jahresabschluss liefert bestehenden und potenziellen Gläubigern nützliche Informationen.
C,Creditworthiness,Kreditwürdigkeit / Bonität,"Die Fähigkeit, Schulden zurückzuzahlen.",Der Kreditgeber hat die Kreditwürdigkeit des Kreditnehmers beurteilt.
C,Criteria for recognising,Ansatzkriterien,"Bedingungen, die erfüllt sein müssen, bevor ein Posten erfasst wird.",Zu den Ansatzkriterien einer Rückstellung gehört eine gegenwärtige Verpflichtung.
C,Cross-reference,Querverweis / Verweis,"Ein Hinweis, der Informationen verknüpft, die in verschiedenen Teilen des Abschlusses dargestellt werden.",Der Anhang enthält einen Querverweis zur Bilanz.
C,CTDs,Kumulierte Umrechnungsdifferenzen (CTD),Die kumulierten Wechselkursdifferenzen aus der Umrechnung des Abschlusses eines ausländischen Geschäftsbetriebs.,Bei der Veräußerung des ausländischen Tochterunternehmens wurden die kumulierten Umrechnungsdifferenzen in den Gewinn oder Verlust umgegliedert.
C,Cumulative additional depreciation,Kumulierte Zusatzabschreibungen,Die seit der Neubewertung eines Vermögenswerts insgesamt erfassten zusätzlichen Abschreibungen.,Die kumulierten Zusatzabschreibungen wurden auf die Gewinnrücklagen übertragen.
C,Cumulative interest accreted,Kumulierte aufgelaufene Zinsen,Die bis zum Stichtag insgesamt angesammelten Zinsen eines Finanzinstruments.,Die kumulierten aufgelaufenen Zinsen erhöhten den Buchwert.
C,Cumulative preference dividends,Kumulierte Vorzugsdividenden,"Unbezahlte Vorzugsdividenden, die sich ansammeln.",Kumulierte Vorzugsdividenden werden zur Berechnung des Ergebnisses je Aktie vom Gewinn abgezogen.
C,Cumulative translation differences,Kumulierte Umrechnungsdifferenzen,Im Eigenkapital angesammelte Wechselkursdifferenzen.,Kumulierte Umrechnungsdifferenzen werden bei der Veräußerung umgegliedert.
C,Currency risk,Währungsrisiko,"Das Risiko, dass der beizulegende Zeitwert oder die künftigen Cashflows eines Finanzinstruments infolge von Änderungen der Wechselkurse schwanken.",Das Unternehmen legt sein Währungsrisiko nach Währung und Fälligkeit offen.
C,Currency translation,Währungsumrechnung,Die Umrechnung von Beträgen in eine andere Währung.,Bei der Währungsumrechnung wird für Vermögenswerte der Stichtagskurs verwendet.
C,Currency units,Währungseinheiten,"Die Geldeinheiten, in denen Beträge bemessen und dargestellt werden.",Beträge werden in den Währungseinheiten des berichtenden Unternehmens ausgedrückt.
C,Current asset,Umlaufvermögen / kurzfristige Vermögenswerte,"Ein Vermögenswert, der voraussichtlich innerhalb des gewöhnlichen Geschäftszyklus realisiert wird.",Vorräte werden als Umlaufvermögen klassifiziert.
C,Current cost,Wiederbeschaffungskosten / Tagesneuwert,"Der Betrag an Zahlungsmitteln oder Zahlungsmitteläquivalenten, der gegenwärtig für den Erwerb eines Vermögenswerts zu zahlen wäre.",Die Wiederbeschaffungskosten für den Ersatz der Maschine waren deutlich höher als ihre historischen Anschaffungskosten.
C,Current cost approach,Wiederbeschaffungskostenansatz,Bewertung auf Basis der Wiederbeschaffungskosten eines Vermögenswerts.,Der Wiederbeschaffungskostenansatz spiegelt die heutigen Wiederbeschaffungspreise wider.
C,Current investment,Kurzfristige Kapitalanlage / Investition,"Eine Investition, deren Realisierung innerhalb eines Jahres erwartet wird.",Die kurzfristige Kapitalanlage wird zum beizulegenden Zeitwert bewertet.
C,Current liabilities,Kurzfristige Verbindlichkeiten / kurzfristige Schulden,"Verpflichtungen, die voraussichtlich innerhalb von zwölf Monaten erfüllt werden.",Verbindlichkeiten aus Lieferungen und Leistungen werden unter den kurzfristigen Verbindlichkeiten ausgewiesen.
C,Current offer price,Aktueller Briefkurs / Angebotspreis,Der aktuell notierte Kurs eines Instruments.,Der beizulegende Zeitwert wurde auf Basis des aktuellen Briefkurses ermittelt.
C,Current service cost,Aktueller Dienstzeitaufwand (Dienstzeitaufwand der Periode),"Die Erhöhung des Barwerts der Verpflichtung aus leistungsorientierten Plänen, die auf die Arbeitsleistung der Arbeitnehmer in der laufenden Periode zurückgeht.",Der aktuelle Dienstzeitaufwand wird unmittelbar in der Gewinn- und Verlustrechnung erfasst.
C,Current tax,Laufende Steuern,"Steuern, die für die laufende Periode zu zahlen sind.",Laufende Steuern werden auf Basis der verabschiedeten Steuersätze bemessen.
C,Curtailment,Herabsetzung / Einschränkung eines Plans (Curtailment),Eine wesentliche Verringerung des Umfangs eines leistungsorientierten Plans.,Die Herabsetzung des Plans verringerte die künftigen Leistungszusagen.
C,Cushions,Puffer / Verlustpuffer,"Überschüssige Beträge, die Schutz bieten, etwa nachrangige Tranchen, die Verluste absorbieren.",Nachrangige Tranchen wirken als Puffer gegen Verluste.
C,Customer list,Kundenliste / Kundenstamm,"Ein immaterieller Vermögenswert, der Informationen über Kunden repräsentiert und häufig im Rahmen eines Unternehmenszusammenschlusses angesetzt wird.",Die im Zusammenschluss erworbene Kundenliste wurde als immaterieller Vermögenswert erfasst.
C,Customer Loyalty Programmes,Kundenbindungsprogramme / Kundentreueprogramme,"Programme, die Kunden Gutschriften auf künftige Waren oder Dienstleistungen einräumen.",Die Kundenbindungsprogramme der Fluggesellschaft verleihen einlösbare Meilen.
C,Customer relationship intangible assets,Immaterielle Vermögenswerte aus Kundenbeziehungen,"Immaterielle Vermögenswerte, die aus Beziehungen zu bestehenden Kunden entstehen.",Immaterielle Vermögenswerte aus Kundenbeziehungen wurden im Rahmen des Erwerbs erfasst.
D,Database,Datenbank,"Eine strukturierte Datensammlung, die als immaterieller Vermögenswert behandelt wird.",Die erworbene Datenbank wurde als immaterieller Vermögenswert erfasst.
D,Date of acquisition,Erwerbsdatum / Zeitpunkt des Erwerbs,"Das Datum, an dem die Kontrolle über das erworbene Unternehmen erlangt wird.",Der Firmenwert wird zum Erwerbszeitpunkt bemessen.
D,Date of exchange,Austauschdatum / Datum des Austauschgeschäfts,"Das Datum, zu dem ein Austausch von Vermögenswerten oder ein Erwerbsgeschäft erfasst und bewertet wird.",Der beizulegende Zeitwert des Vermögenswerts wurde zum Austauschdatum bestimmt.
